ReplicationDegree;Numkeys;NumWrites;NumThread;NumNodes;WriteXactPercentage;NumReadsPerROXact;NumReadsPerWrXact;NumPutsPerWrXact;Warehouses;Parallelism;CPU;Memory;Throughput;WriteThroughput;ReadThroughput;EarlyAborts;LocalPrepareAborts;RemotePrepareAborts;WriteCommitProbability;TotalCommitProbability;Locality;NodesInCommit;RemoteNodesInCommit;RemoteReadsInROXact;RemoteReadsInWrXact;LockHoldTime;LocalLockHoldTime;LocalSuccessfulLockHoldTime;LocalLocalAbortLockHoldTime;LocalRemoteAbortLockHoldTime;RemoteLockHoldTime;PrepareRtt;CommitAsyncNet;RollbackAsyncNet;RemoteGetRtt;NumReadsAfterFirstWrite;PrepareMessageSize;CommitMessageSize;RollbackMessageSize;RemoteGetMessageSize;RemoteGetReplyMessageSize;LocalCommitWaitTime;NumLocalCommitsWait;RemoteCommitWaitTime;NumRemoteCommitsWait;RemoteGetWaitTime;NumRemoteGetsWait;TotalResponseTimeWrXact;TotalResponseTimeROXact;LocalResponseTimeWrXact;LocalResponseTimeROXact;LocalServiceTimeWrXact;TotalServiceTimeWrXact;LocalServiceTimeROXact;RG_WrR;RG_ROR;RG_COMMIT;BusinessLogicWrXactS;BusinessLogicROXactS;BusinessLogicWrXactR;BusinessLogicROXactR;RemoteRemoteGetServiceTime;RemoteRemoteGetResponseTime;LocalRemoteGetServiceTime;LocalRemoteGetResponseTime;CommitCommandServiceTime;CommitCommandResponseTime;PrepareCommandServiceTime;PrepareCommandResponseTime;EarlyAbortProb;PrepareLocalAbortProb;PrepareRemoteAbortProb;;;Throughput;RdThroughput;WrThroughput;RdResponseTime;WrResponseTime;WrLocalR;WrPrepareR;WrCommitR;RemoteGetR;avgR;CpuU;EarlyAbortP;LocalAbortP;RemoteAbortP;;LC_Cpu;LEA_Cpu;LLA_Cpu;LRA_Cpu;RC_Cpu;RA_Cpu;RO_Cpu;
1;1.000;10;1;10;0,11244216;10;10;10;0;10;0,66298761;71.548.155,06086956;549,53260228;61,79561169;487,73699059;0;16;130;0,9870441;0,99852615;0,10027195;6;5;8,99654451;8,99958255;1.351,7;1.178,2;1.153,5;926,2;20.804,5;17.263,4;5.927,2;967,2;981,6;1.568,2;10;5.658;162;70;185;272,6;2.587;0,7;7.041,5;9,4;0;0;25.721,6;15.822,5;17.521,4;15.396,5;2.307,7;3.974,4;1.712;27.106,16336052;16.960,81279789;8.374,66758982;784,07067399;188,88501484;2.319,3051536;199,53701757;56,6;59,2;169,3;1.689,2;455,1;1.208,6;1.093,4;6.795,8;0;0,00141982;0,01155247;;;600,65622409;533,11714305;67,53908104;15.396,5;26.530,74160082;17.517,51131653;6.795,8;1.208,6;1.689,2;16.648,45813454;-1;0,00673212;0,00322079;0,03187647;;0,02456005;0;0,00002343;0,0002031;0,0089959;0,02518626;0,08350057;
1;1.000;10;1;20;0,10912448;10;10;10;0;20;0,69221067;60.962.864,90434782;864,76825622;94,3464362;770,42182002;0;19;441;0,97362688;0,99705345;0,04977996;7,45;7;9,49977158;9,50998902;2.262;1.491,5;1.437,4;1.010,2;21.303,2;17.431,15;8.022,45;1.380,4;1.351,35;1.913,4;10;5.738;242;70;265;442,55;2.405,2;0,35;9.229,5;10,55;0;0;33.074,65;20.244,65;22.146,6;19.789,05;2.732,25;4.745,85;2.086,7;34.582,63739771;21.523,88264058;11.141,73444455;861,1596611;217,61994131;2.551,74313191;215,24564454;66,85;71,2;196,75;2.060,45;542,65;1.642,2;1.342,35;9.072,3;0;0,00108932;0,02531137;;;931,02917926;829,43110328;101,59807598;19.789,05;35.299,3537642;22.130,55190291;9.072,3;1.642,2;2.060,45;21.481,60384833;-1;0,00725689;0,00304084;0,06359283;;0,0223877;0;0,00001567;0,000404;0,01212301;0,0260927;0,08038196;
1;1.000;10;1;30;0,11075999;10;10;10;0;30;0,67951861;59.826.099,28888888;1.146,9686114;127,03848895;1.019,93012244;0;25;972;0,95822159;0,99519407;0,03335158;8;8;9,66535625;9,66669413;3.540,46666667;1.734,76666667;1.656,1;762,63333333;22.648,2;17.310,5;9.319,63333333;1.606,83333333;1.558,03333333;2.125,1;10;5.818;322;70;345;616,63333333;6.022,43333333;0,2;11.171,56666667;11,06666667;0;0;37.458,96666667;22.892,33333333;24.838,23333333;22.438,7;3.038,9;5.239,73333333;2.387,2;39.065,49330679;24.241,13086133;12.852,94663133;891,60500982;240,20219835;2.636,09247072;239,6319437;74,16666667;80,83333333;222,13333333;2.296,76666667;594,4;1.893,96666667;1.473,4;10.505,63333333;0;0,0010476;0,04077352;;;1.222,6701545;1.087,24722;135,42293449;22.438,7;41.378,41072105;24.837,75121508;10.505,63333333;1.893,96666667;2.296,76666667;24.536,46217639;-1;0,00745329;0,00298294;0,09440932;;0,02218826;0;0,00001531;0,00065988;0,01366452;0,02649624;0,08115924;
1;1.000;10;1;40;0,10965162;10;10;10;0;40;0,67144798;60.874.109,51833333;1.376,61602125;150,94322852;1.225,67279273;0;25;1.660;0,9416066;0,99324614;0,0246241;8;8;9,7503279;9,74964941;5.035,775;2.002,025;1.884,725;608,3;21.448,05;17.245,175;10.787,1;1.757;1.631,625;2.339,775;10;5.898;402;70;425;787,1;17.241,05;0,125;20.235,6;10,975;0;0;42.894,25;25.349;28.432,425;24.886,425;3.392,5;5.765,225;2.713,025;44.540,32772976;26.762,71924529;14.705,4118832;942,90058492;263,25511511;3.675,87146867;128,14863798;82,85;89,35;251,25;2.539,225;621,225;2.077,175;1.614,175;12.147,275;0;0,00086637;0,05757691;;;1.452,51529351;1.293,24463452;159,27065899;24.886,425;49.072,21735643;28.442,86029129;12.147,275;2.077,175;2.539,225;27.538,43637915;-1;0,00775164;0,00299872;0,12520286;;0,02175554;0;0,00001269;0,00093066;0,01318861;0,02711577;0,08313202;
1;1.000;10;1;50;0,11015168;10;10;10;0;50;0,64384504;60.495.041,35188408;1.528,47952253;168,36318716;1.360,11633537;0;39;2.354;0,92681733;0,99137735;0,01934635;8,86;8;9,80048645;9,80050091;7.080,4;2.275,24;2.110,72;1.411,64;22.118,7;19.110,28;12.363,34;1.931,82;1.774,34;2.633,68;10;5.978;482;70;505;961,12;1.915,76;0,08;12.911,62;11,94;0;0;47.715,04;28.779,3;31.391,6;28.302,84;3.773,42;6.332;3.087,66;49.449,27572592;30.256,34100526;16.590,56210042;975,76901097;290,01313889;3.299,05217893;210,33362934;92,8;101,14;285,46;2.866,44;675,12;2.243,08;1.741,7;13.834,26;0;0,0011927;0,07207593;;;1.593,70116704;1.418,15230199;175,54886505;28.302,84;56.179,58451834;31.408,90066068;13.834,26;2.243,08;2.866,44;31.373,51031307;-1;0,0075147;0,00288784;0,14967024;;0,02132151;0;0,00001799;0,00116798;0,01267221;0,02726336;0,08399154;
1;1.000;10;1;60;0,10976654;10;10;10;0;60;0,66265376;61.489.128,57600966;1.675,38618412;183,91399718;1.491,47218694;0;51;3.052;0,91430307;0,98981574;0,01651419;9;8,96666667;9,8333864;9,83692108;8.308,06666667;2.339,48333333;2.153,83333333;880,7;23.798,53333333;18.984,01666667;13.015,56666667;2.037,13333333;1.820,16666667;2.865,7;10;6.058;562;70;585;1.131,88333333;1.459,13333333;0,15;34.801,5;8,36666667;0;0;51.460,85;31.478,35;34.203,3;30.998,61666667;4.203,71666667;6.948,6;3.462,95;53.204,09339185;32.971,89853227;17.521,14267007;1.050,32766684;310,69410112;3.431,77138518;238,14512351;100,9;109,65;320,56666667;3.128,16666667;733,13333333;2.363,1;1.867,15;14.646,78333333;0;0,00140849;0,08440732;;;1.741,68761934;1.550,50860313;191,17901622;30.998,61666667;62.435,60830809;34.196,84655741;14.646,78333333;2.363,1;3.128,16666667;34.449,34633146;-1;0,00749824;0,00285213;0,17516247;;0,02129908;0;0,00002175;0,00139612;0,01365711;0,02724731;0,08608156;
1;1.000;10;1;10;0,50818398;10;10;10;0;10;0,69647617;92.479.652,59489855;366,90627099;186,47249439;180,4337766;0;128;1.432;0,95558845;0,97692478;0,100215;6;5;9,0029528;8,99192384;5.619;4.594,2;4.440,2;1.388,1;13.437,8;11.327,5;6.457,4;998,7;1.032;2.040,5;10;5.658;162;70;181,9;512;17.564,3;4,4;6.657,4;116,5;0;0;29.178,3;20.341,9;20.499,9;19.937,1;2.082;3.502,4;1.850,6;30.693,99938453;21.633,0444822;8.900,28549259;469,74805474;236,3705628;885,81651866;298,95905541;81,8;88;179,3;2.181,3;362,9;1.235;932,6;7.227,8;0;0,00364402;0,04091662;;;377,14410097;185,4855105;191,65859047;19.937,1;32.881,16026154;20.512,82661632;7.227,8;1.235;2.181,3;26.515,06406802;-1;0,0214107;0,01048921;0,09983499;;0,06531013;0;0,00017124;0,00196886;0,0205502;0,02430467;0,03339107;
1;1.000;10;1;20;0,51075524;10;10;10;0;20;0,69441245;85.542.618,00869565;541,22071883;276,3825656;264,83815323;0;227;5.126;0,90285289;0,94791434;0,04979265;7,6;7;9,4995249;9,5013025;9.166,65;6.349,15;5.968,8;2.496,35;14.764,2;12.345,1;9.105,85;1.366,7;1.366,6;2.554,15;10;5.738;242;70;261,7;726,85;14.561,8;3,15;10.321,3;117,35;0;0;38.565,75;26.764,7;26.674,35;26.383;2.569,25;4.260,95;2.288,5;40.159,3472855;28.129,94062487;12.139,55881127;539,29672129;258,92650578;733,41885473;446,92215026;96,3;108;213,65;2.730,25;429,55;1.626,35;1.136,95;10.040,4;0;0,00411963;0,0934123;;;533,89333254;261,20451269;272,68881985;26.383;48.071,79608266;26.676,45501773;10.040,4;1.626,35;2.730,25;37.460,66635639;-1;0,0222547;0,00958827;0,1856807;;0,05888261;0;0,00018589;0,00431914;0,02417356;0,02352408;0,03030411;
1;1.000;10;1;30;0,51042859;10;10;10;0;30;0,72128083;80.236.685,3710145;692,28833366;353,36626735;338,92206631;0;335;10.399;0,8556113;0,92069332;0,03337025;8;8;9,66841491;9,66253515;11.470,33333333;7.686,9;7.080,46666667;2.443,9;16.692,3;13.325,36666667;10.695,16666667;1.580,93333333;1.535,26666667;2.837,23333333;10;5.818;322;70;341,2;941,36666667;13.257,63333333;2,06666667;12.709,4;108,46666667;0;0;43.972,4;30.088,16666667;30.129,2;29.700,3;2.899,83333333;4.752,3;2.609,66666667;45.653,99687751;31.530,86492508;14.099,04179433;572,77278414;281,19007556;757,99189742;311,21919448;103,56666667;117,63333333;240,83333333;3.039,7;462,3;1.852,46666667;1.265,2;11.763,9;0;0,00450626;0,14051563;;;665,74603598;325,93022793;339,81580805;29.700,3;59.796,43668784;30.140,63648952;11.763,9;1.852,46666667;3.039,7;45.062,22850572;-1;0,02161955;0,00888096;0,25389024;;0,05597675;0;0,00020512;0,00653136;0,02554163;0,02233174;0,02948245;
1;1.000;10;1;40;0,50868927;10;10;10;0;40;0,71387112;70.780.287,15395652;761,19954996;387,31341491;373,88613506;0;395;16.531;0,80465116;0,89005307;0,0245342;8;8;9,75058248;9,74662247;14.980,875;9.772,575;8.762,225;2.686,9;19.968,175;16.402,675;13.951,75;1.756,375;1.652,075;3.247,125;10;5.898;402;70;421,025;1.156,175;10.131,3;1,4;15.299,275;111,475;0;0;52.676,725;34.161,725;35.154,925;33.745,05;3.374,825;5.423,3;3.039,1;54.494,39036425;35.700,54802789;17.789,23671852;632,12543722;295,2860901;1.122,643325;-301,05884581;115,35;132,75;281,4;3.491,7;502;2.063,775;1.417,8;15.216,35;0;0,00455883;0,19166377;;;716,01731232;351,78699055;364,23032178;33.745,05;77.228,41491484;35.182,98282114;15.216,35;2.063,775;3.491,7;55.864,5710259;-1;0,02077291;0,00832103;0,30863846;;0,05251292;0;0,0002083;0,00896045;0,02464795;0,02087723;0,02840693;
1;1.000;10;1;50;0,50973734;10;10;10;0;50;0,70106802;67.672.486,98448697;772,30318542;394,01466559;378,28851984;0;449;22.996;0,75157616;0,85569999;0,01913845;8,96;8;9,80073894;9,80064651;20.126,34;13.014,98;11.237,14;2.353,46;26.063,94;21.315,72;18.719,02;1.920,58;1.757,04;3.742,12;10;5.978;482;70;501;1.377,6;11.524,68;1,48;17.754,08;104,32;0;0;63.057,64;39.424,7;40.405,6;38.977,54;3.867,2;6.098,82;3.506,62;64.960,53197107;41.057,54466487;22.932,9586689;693,35863494;332,74870075;931,34004796;-497,09225487;126,52;148,08;323,84;4.027,72;550,16;2.264,46;1.549,68;20.143,22;0;0,00475762;0,24483104;;;717,2446445;351,63826461;365,60637989;38.977,54;99.270,71154007;40.437,69674362;20.143,22;2.264,46;4.027,72;69.711,22110608;-1;0,01997601;0,00792741;0,35707451;;0,04806049;0;0,00021353;0,01133023;0,0227949;0,01878498;0,02653028;
1;1.000;10;1;60;0,51049107;10;10;10;0;60;0,72764349;72.352.175,7042029;907,27008757;463,07043938;444,19964819;0;507;30.329;0,72997066;0,84118008;0,01662126;9;9;9,83309911;9,83240892;16.559,1;11.427,43333333;9.891,15;3.062,86666667;21.636,05;17.201,26666667;15.588,35;2.050,11666667;1.836,3;3.823,06666667;10;6.058;562;70;581;1.591,08333333;9.419,21666667;0,85;14.564,73333333;75,06666667;0;0;61.402,11666667;40.997,73333333;41.649,96666667;40.554,08333333;4.191,38333333;6.542,21666667;3.823,95;63.270,98212559;42.597,52587465;20.037,3245916;725,29531723;357,61867872;971,65224947;-127,0865348;132,46666667;154,88333333;352,51666667;4.137,16666667;584,11666667;2.397,23333333;1.632,5;17.107,61666667;0;0,00443977;0,26677398;;;820,56080236;401,67183913;418,88896323;40.554,08333333;104.348,81460338;41.655,66989161;17.107,61666667;2.397,23333333;4.137,16666667;73.120,72405535;-1;0,01965804;0,00766119;0,40466193;;0,05049179;0;0,00021786;0,01341011;0,02558057;0,01936928;0,02830995;
