SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,NumAbortedTxDueToReadLock,AvgRollbackRtt,RemoteUpdateTxPrepareServiceTime,RemoteContentionProbability,AvgCommitAsync,LocalUpdateTxPrepareResponseTime,LocalUpdateTxLocalServiceTime,AvgGetsPerWrTransaction,LocalUpdateTxLocalRollbackResponseTime,AvgNumSyncSentCommitMsgs,AvgClusteredGetCommandSize,AvgCommitCommandSize,ReadOnlyTxTotalCpuTime,LocalReadOnlyTxCommitResponseTime,LocalReadOnlyTxPrepareResponseTime,AvgPutsPerWrTransaction,PercentageWriteTransactions,LocalReadOnlyTxLocalServiceTime,AvgNumNodesPrepare,NumAbortedTxDueToValidation,RemoteUpdateTxRollbackResponseTime,AvgLocalGetTime,AvgNumNodesRollback,LocalReadOnlyTxLocalResponseTime,AvgRollbackAsync,AvgRemoteGetsPerWrTransaction,AvgCommitRtt,NumReadsBeforeWrite,LocalUpdateTxLocalRollbackServiceTime,AvgLockHoldTime,RemoteGetServiceTime,NumOwnedWrItemsInRemotePrepare,RemoteUpdateTxCommitResponseTime,GMUClusteredGetCommandResponseTime,WaitedTimeInLocalCommitQueue,RemotePutExecutionTime,AvgLocalLockHoldTime,AvgNumNodesRemoteGet,AvgNumAsyncSentCommitMsgs,NumOwnedRdItemsInRemotePrepare,LocalUpdateTxTotalResponseTime,AvgGetsPerROTransaction,LocalUpdateTxTotalCpuTime,LocalUpdateTxLocalResponseTime,RemoteGetResponseTime,GMUClusteredGetCommandWaitingTime,NumKilledTxDueToValidation,LocalUpdateTxCommitServiceTime,RemoteUpdateTxPrepareResponseTime,PercentageSuccessWriteTransactions,WaitedTimeInRemoteCommitQueue,LocalUpdateTxRemoteRollbackResponseTime,ApplicationContentionFactor,LockContentionProbability,AvgRemoteLockHoldTime,ReadOnlyTxTotalResponseTime,NumberOfRemotePuts,RemoteUpdateTxCommitServiceTime,AvgNumNodesCompleteNotification,AvgCompleteNotificationAsync,AvgNumPutsBySuccessfulLocalTx,NumAbortedTxDueToNotLastValueAccessed,NumOwnedRdItemsInLocalPrepare,NumAbortedTxDueToWriteLock,TerminationCost,AvgRemotePutsPerWrTransaction,LocalUpdateTxPrepareServiceTime,LocalReadOnlyTxPrepareServiceTime,AvgRemoteGetRtt,LocalUpdateTxRemoteRollbackServiceTime,LocalUpdateTxCommitResponseTime,AvgPrepareCommandSize,AvgPrepareRtt,AvgNumNodesCommit,NumberOfGets,WriteSkewProbability,LocalContentionProbability,GMUClusteredGetCommandServiceTime,AvgReadOnlyTxDuration,NumOwnedWrItemsInLocalPrepare,ReplicationDegree,RemoteUpdateTxRollbackServiceTime,NumberOfRemoteGets,AvgRemoteGetsPerROTransaction,LocalReadOnlyTxCommitServiceTime,AvgPrepareAsync
17,180190,0,77,600,0,41,510525.92915166664,433427.25370129873,19.623433147632312,50015.73641,0.6131810742609135,2.5606856192E8,2,100000,UNIFORM,0,0,277,0.0,4456,44527,33945,100,3933,0,424,402,33492.0,0,0,Not_Available,0.8927576601671309,32737,35,0,121,-22,35,430624,3588,96.0,0,Not_Available,1276,41382,292,0.0,0,Not_Available,0,3421,42399,1,34,0.0,508188.0,100,39059.0,458487,4355,316.0,40,1465,398,0.8862629246676514,350,0,0.0,0.0,41158,431761.0,5830,0,0,0,Not_Available,0,29.0,0,127790,Not_Available,3466,0,4040,0,4818,6302,41224,35,67700,0.0,0.0,Not_Available,431747,0.0,40,98,65447,96.0,0,0
18,180121,0,64,607,1,40,512256.0703410214,428400.25628125,30.255296348314605,48037.79493574959,0.5193021323565595,2.491865376E8,2,100000,UNIFORM,0,0,283,0.0,3791,43075,34556,100,3060,0,424,402,30781.0,0,0,Not_Available,0.9101123595505618,30071,35,0,108,-24,33,425334,2707,96.0,0,Not_Available,1089,40853,296,0.0,0,Not_Available,0,3488,44170,1,34,0.0,509660.0,100,39452.0,461949,4386,329.0,39,1292,391,0.9046199701937406,340,0,0.0,0.0,40163,426595.0,5890,0,0,0,Not_Available,0,34.0,1,184795,Not_Available,3413,0,4066,0,4132,6302,40143,35,67100,0.0,0.0,Not_Available,426563,0.0,40,98,64862,96.0,0,0
19,180093,0,67,593,1,35,523062.32342833054,452341.55897014926,33.14177442528736,50321.018096121414,0.6081106486793433,2.4841799133333334E8,2,100000,UNIFORM,0,0,278,0.0,4592,44742,34777,100,4392,0,424,402,32418.0,0,0,Not_Available,0.9037356321839081,31722,35,2,125,-27,34,448261,4074,96.0,0,Not_Available,1419,41600,300,0.0,0,Not_Available,0,3549,44746,1,34,0.0,520447.0,100,39905.0,470439,4477,350.0,46,1464,410,0.8984848484848484,376,0,0.0,0.0,41024,449176.0,5780,0,0,0,Not_Available,0,31.0,0,120938,Not_Available,3484,0,4154,0,4951,6302,40981,35,66000,0.0,0.0,Not_Available,449158,0.0,40,102,63906,96.0,0,0
20,180148,0,66,614,0,38,504730.3701579804,461125.15809090907,21.89843732590529,48339.62563843648,0.5276396429914947,1.73785784E8,2,100000,UNIFORM,0,0,267,0.0,3833,43585,35887,100,4539,0,424,402,37028.0,0,0,Not_Available,0.9080779944289693,36262,35,1,116,-9,35,457221,4038,98.0,0,Not_Available,1417,42670,308,0.0,0,Not_Available,0,3326,42085,1,34,0.0,502641.0,100,40897.0,454588,4281,286.0,32,1406,374,0.9029411764705882,281,0,0.0,0.0,42805,458228.0,6040,0,0,0,Not_Available,0,17.0,0,111077,Not_Available,3425,0,3953,0,4190,6302,40493,35,68000,0.0,0.0,Not_Available,458212,0.0,40,107,66871,98.0,0,0
21,180163,0,57,597,1,46,521718.6855527638,429605.3667894737,24.866681883024253,48285.38286264656,0.583379850767938,2.395291456E8,2,100000,UNIFORM,0,0,278,0.0,4321,42832,34690,100,4390,0,424,402,30549.0,0,0,Not_Available,0.9186875891583453,29831,35,1,138,-30,34,426632,4117,96.0,0,Not_Available,1300,42390,294,0.0,0,Not_Available,0,3535,42281,1,34,0.0,519077.0,100,39750.0,471142,4463,348.0,49,1420,430,0.9128440366972477,381,0,0.0,0.0,42412,427597.0,5780,0,0,0,Not_Available,0,37.0,0,178433,Not_Available,3459,0,4139,0,4764,6302,39607,35,65400,0.0,0.0,Not_Available,427583,0.0,40,109,63250,96.0,0,0
22,180051,0,62,616,0,38,510050.65164935065,424905.8302419355,22.170646648044695,49156.46502922078,0.5574249699571932,2.0930208992E8,2,100000,UNIFORM,0,0,286,0.0,3522,44549,36258,100,3072,0,424,402,33997.0,0,0,Not_Available,0.9134078212290503,33257,35,0,131,-22,35,422342,2757,98.0,0,Not_Available,1187,42432,307,0.0,0,Not_Available,0,3402,45347,1,34,0.0,508047.0,100,41168.0,459208,4280,296.0,28,1289,365,0.9085545722713865,277,0,0.0,0.0,41760,423342.0,6030,0,0,0,Not_Available,0,18.0,0,121090,Not_Available,3438,0,3965,0,3880,6302,41539,35,67800,0.0,0.0,Not_Available,423322,0.0,40,109,66661,98.0,0,0
23,180146,0,48,610,0,45,515900.01558360655,442543.128375,26.056352773826458,51409.052465573775,0.5828138318658058,2.380353888E8,2,100000,UNIFORM,0,0,273,0.0,4470,45810,33951,100,4255,0,424,402,33221.0,0,0,Not_Available,0.9317211948790897,32510,35,0,116,-31,35,439317,3973,96.0,0,Not_Available,1379,41630,295,0.0,0,Not_Available,0,3619,47422,1,34,0.0,513661.0,100,38989.0,462578,4412,355.0,55,1420,395,0.9270516717325228,360,0,0.0,0.0,40434,440418.0,5720,0,0,0,Not_Available,0,46.0,0,124434,Not_Available,3435,0,4098,0,4925,6302,42983,35,65800,0.0,0.0,Not_Available,440403,0.0,40,101,63551,96.0,0,0
24,180253,0,46,625,1,35,515663.5090048,424801.23045652173,19.82193493635078,47914.3414576,0.5665731742368276,2.369511152E8,2,100000,UNIFORM,0,0,273,0.0,4453,42500,34732,100,4310,0,424,402,28911.0,0,0,Not_Available,0.9349363507779349,28224,35,0,134,-32,34,421925,4005,96.0,0,Not_Available,1372,41113,296,0.0,0,Not_Available,0,3478,43678,1,34,0.0,513332.0,100,39787.0,465720,4411,327.0,45,1448,415,0.9314456035767511,361,0,0.0,0.0,40598,422851.0,6060,0,0,0,Not_Available,0,48.0,0,125816,Not_Available,3428,0,4087,0,4825,6302,39652,35,67100,0.0,0.0,Not_Available,422829,0.0,40,95,64858,96.0,0,0
25,180385,0,76,614,0,40,501124.6012100977,428501.7866447368,21.228495890410958,47542.857267100975,0.51273990772813,2.0919523872E8,2,100000,UNIFORM,0,0,272,0.0,4219,42440,35885,100,4028,0,424,402,34049.0,0,0,Not_Available,0.8958904109589041,33315,35,2,109,-13,35,424871,3746,98.0,0,Not_Available,1441,41654,306,0.0,0,Not_Available,0,3315,40315,1,34,0.0,499036.0,100,41167.0,451782,4222,275.0,32,1542,352,0.8898550724637682,265,0,0.0,0.0,41965,425820.0,6030,0,0,0,Not_Available,0,13.0,0,105382,Not_Available,3562,0,3910,0,4547,6302,39633,35,69000,0.0,0.0,Not_Available,425808,0.0,40,101,67945,98.0,0,0
26,180270,0,67,619,0,43,499978.3763392569,423313.2915671642,19.8639561042524,47954.30171890146,0.5429206035625401,2.0131378176E8,2,100000,UNIFORM,0,0,284,0.0,3521,43456,35667,100,3676,0,424,402,34502.0,0,0,Not_Available,0.9080932784636488,33802,35,0,117,-18,35,420264,3305,98.0,0,Not_Available,1249,41603,305,0.0,0,Not_Available,0,3355,42277,1,34,0.0,497820.0,100,40497.0,450195,4215,272.0,21,1253,374,0.902332361516035,263,0,0.0,0.0,41459,421268.0,6080,0,0,0,Not_Available,0,16.0,0,118309,Not_Available,3404,0,3900,0,3880,6302,40731,35,68600,0.0,0.0,Not_Available,421251,0.0,40,107,67477,98.0,0,0
27,180259,0,69,586,3,43,523581.44825426623,423516.03986956517,28.681894436519258,49078.46004607508,0.5954744393240458,2.070157904E8,2,100000,UNIFORM,0,0,278,0.0,4372,43592,34254,100,3886,0,424,402,30717.0,0,0,Not_Available,0.9015691868758916,30011,35,2,141,-35,33,420363,3523,96.0,0,Not_Available,1202,40146,296,0.0,0,Not_Available,0,3653,43055,1,34,0.0,521287.0,100,39145.0,472577,4461,347.0,46,1289,437,0.8946564885496183,374,0,0.0,0.0,39602,421630.0,5670,0,0,0,Not_Available,0,31.0,0,135772,Not_Available,3427,0,4150,0,4791,6302,40773,35,65500,0.0,0.0,Not_Available,421617,0.0,40,100,63334,96.0,0,0
28,180295,0,73,601,1,56,501845.5260083195,409233.163739726,17.53543638850889,47622.7713577371,0.48648317741739966,2.0190502112E8,2,100000,UNIFORM,0,0,268,0.0,3678,43039,36074,100,3595,0,424,402,33924.0,0,0,Not_Available,0.9001367989056087,33219,35,3,133,-11,34,406523,3177,98.0,0,Not_Available,1219,42311,309,0.0,0,Not_Available,0,3376,41601,1,34,0.0,499318.0,100,41004.0,451988,4206,283.0,23,1305,365,0.8916913946587537,280,0,0.0,0.0,42484,407460.0,5920,0,0,0,Not_Available,0,15.0,0,120221,Not_Available,3447,0,3892,0,4018,6302,39874,35,67400,0.0,0.0,Not_Available,407434,0.0,40,108,66277,98.0,0,0
29,180243,0,70,605,0,51,504162.55312561983,421126.7507142857,147.84963085399448,47856.508723966945,0.5152170937388248,2.138544784E8,2,100000,UNIFORM,0,0,281,0.0,3668,43300,35902,100,3913,0,424,402,35504.0,0,0,Not_Available,0.9035812672176309,34808,35,1,118,-20,35,418320,3544,98.0,0,Not_Available,1429,41879,308,0.0,0,Not_Available,0,3393,43418,1,34,0.0,501939.0,100,41068.0,454357,4235,278.0,26,1453,346,0.8962962962962963,276,0,0.0,0.0,41512,419331.0,5900,0,0,0,Not_Available,0,15.0,0,112745,Not_Available,3542,0,3926,0,4020,6302,40423,35,67500,0.0,0.0,Not_Available,419307,0.0,40,107,66410,98.0,0,0
30,180275,0,64,621,0,41,504731.93525281805,410424.660265625,14.63811570247934,46052.78738486312,0.5592707031209899,1.9519495936E8,2,100000,UNIFORM,0,0,287,0.0,3680,41412,35934,100,2837,0,424,402,32380.0,0,0,Not_Available,0.9118457300275482,31641,35,0,115,-27,35,407892,2477,98.0,0,Not_Available,1091,42045,304,0.0,0,Not_Available,0,3413,41557,1,34,0.0,502266.0,100,40750.0,456490,4237,278.0,19,1253,389,0.9065693430656935,265,0,0.0,0.0,42163,408889.0,6090,0,0,0,Not_Available,0,17.0,0,121002,Not_Available,3389,0,3929,0,4064,6302,38403,35,68500,0.0,0.0,Not_Available,408866,0.0,40,107,67353,98.0,0,0
31,180264,0,65,620,1,39,499664.5645209677,439368.61624615383,27.340026206896553,47299.21336451613,0.5397987569693489,2.2239457824E8,2,100000,UNIFORM,0,0,289,0.0,3579,42816,35936,100,3872,0,424,402,35955.0,0,0,Not_Available,0.9103448275862069,35224,35,0,114,-19,34,436256,3264,98.0,0,Not_Available,1259,41868,311,0.0,0,Not_Available,0,3338,43286,1,34,0.0,497901.0,100,40871.0,450869,4247,284.0,22,1323,398,0.9051094890510949,276,0,0.0,0.0,41554,437405.0,6110,0,0,0,Not_Available,0,17.0,0,96165,Not_Available,3439,0,3928,0,3944,6302,39779,35,68500,0.0,0.0,Not_Available,437392,0.0,40,103,67390,98.0,0,0
32,180119,0,44,638,0,36,505266.9819216301,418160.13054545457,24.940601671309192,47676.717830721005,0.49372201782276803,1.8670063488E8,2,100000,UNIFORM,0,0,280,0.0,3705,43051,35974,100,3483,0,424,402,30925.0,0,0,Not_Available,0.9387186629526463,30220,35,1,169,-30,34,414394,2888,98.0,0,Not_Available,1170,42453,306,0.0,0,Not_Available,0,3371,43357,1,34,0.0,503152.0,100,40944.0,455760,4267,294.0,19,1313,450,0.9354838709677419,314,0,0.0,0.0,42232,415415.0,6290,0,0,0,Not_Available,0,26.0,1,115993,Not_Available,3482,0,3950,0,4046,6302,40107,35,68200,0.0,0.0,Not_Available,415391,0.0,40,108,67015,98.0,0,0
33,180358,0,55,626,0,43,501676.5475495208,441077.94054545456,17.10472375690608,44001.17447763579,0.5002369600956766,2.07655504E8,2,100000,UNIFORM,0,0,279,0.0,3319,39801,35258,100,3714,0,424,402,38265.0,0,0,Not_Available,0.9240331491712708,37532,35,0,110,-19,35,437979,3305,98.0,0,Not_Available,1277,40100,305,0.0,0,Not_Available,0,3289,40598,1,34,0.0,499499.0,100,40040.0,455802,4288,276.0,25,1247,376,0.9192364170337739,273,0,0.0,0.0,39970,439042.0,6130,0,0,0,Not_Available,0,21.0,0,111808,Not_Available,3359,0,3963,0,3639,6302,36822,35,68100,0.0,0.0,Not_Available,439030,0.0,40,102,66895,98.0,0,0
34,180265,0,75,612,0,41,503061.0547385621,414496.80828,15.170390109890109,47108.49058169935,0.4764669115202125,2.0335496096E8,2,100000,UNIFORM,0,0,277,0.0,4137,42029,36741,100,4742,0,424,402,30005.0,0,0,Not_Available,0.896978021978022,29315,35,0,112,-14,35,411074,4256,98.0,0,Not_Available,1426,41336,309,0.0,0,Not_Available,0,3377,40787,1,34,0.0,501040.0,100,41962.0,454236,4240,295.0,20,1468,388,0.8908296943231441,272,0,0.0,0.0,41459,412020.0,6040,0,0,0,Not_Available,0,14.0,0,112989,Not_Available,3578,0,3925,0,4505,6302,39112,35,68700,0.0,0.0,Not_Available,412007,0.0,40,105,67578,98.0,0,0
35,180100,0,64,587,0,42,529428.6904088586,413403.775984375,25.908301587301587,49790.83414991482,0.5997422772271155,2.4591896417391303E8,2,100000,UNIFORM,0,0,278,0.0,4689,43959,34708,100,4803,0,424,402,30709.0,0,0,Not_Available,0.9076479076479076,29969,35,1,117,-43,35,410258,4386,96.0,0,Not_Available,1484,40289,297,0.0,0,Not_Available,0,3724,45225,1,34,0.0,526981.0,100,39967.0,477495,4505,349.0,55,1575,396,0.901689708141321,360,0,0.0,0.0,39361,411363.0,5690,0,0,0,Not_Available,0,34.0,0,148704,Not_Available,3509,0,4196,0,5182,6302,40590,35,65100,0.0,0.0,Not_Available,411343,0.0,40,100,62880,96.0,0,0
36,180192,0,61,622,0,46,497513.68486334407,433229.4426557377,15.384973936899863,47539.5987733119,0.5245277766400566,2.013129088E8,2,100000,UNIFORM,0,0,265,0.0,3688,42942,35784,100,3705,0,424,402,34631.0,0,0,Not_Available,0.9163237311385459,33953,35,0,113,-33,34,430737,3354,98.0,0,Not_Available,1227,42183,305,0.0,0,Not_Available,0,3388,42602,1,34,0.0,495512.0,100,40675.0,448259,4201,280.0,17,1251,341,0.9106881405563689,279,0,0.0,0.0,42082,431562.0,6100,0,0,0,Not_Available,0,18.0,0,102028,Not_Available,3466,0,3902,0,4014,6302,40312,35,68300,0.0,0.0,Not_Available,431547,0.0,40,103,67161,98.0,0,0
37,180212,0,67,613,0,42,503469.9160668842,426280.68298507464,50.38821329639889,48917.33763784666,0.4857783151929666,2.1426841248E8,2,100000,UNIFORM,0,0,277,0.0,3693,44303,36030,100,3402,0,424,402,34431.0,0,0,Not_Available,0.907202216066482,33706,35,1,108,-10,36,422400,3023,98.0,0,Not_Available,1341,42109,311,0.0,0,Not_Available,0,3367,42668,1,34,0.0,501509.0,100,40894.0,452879,4248,289.0,26,1278,424,0.9014705882352941,282,0,0.0,0.0,41979,423368.0,6030,0,0,0,Not_Available,0,18.0,0,120782,Not_Available,3406,0,3924,0,4024,6302,41469,35,68000,0.0,0.0,Not_Available,423338,0.0,40,104,66786,98.0,0,0
38,180272,0,61,620,1,37,507089.0954983871,436029.6079180328,23.77321140472879,48743.57132096774,0.4297608500566536,2.1342802336E8,2,100000,UNIFORM,0,0,273,0.0,3658,44139,36217,100,3785,0,424,402,35265.0,0,0,Not_Available,0.9151599443671766,34501,35,0,123,-28,34,433087,3350,98.0,0,Not_Available,1406,43592,310,0.0,0,Not_Available,0,3391,43136,1,34,0.0,505288.0,100,41244.0,456865,4267,281.0,17,1350,347,0.9104258443465492,273,0,0.0,0.0,43702,434394.0,6120,0,0,0,Not_Available,0,18.0,0,109492,Not_Available,3503,0,3953,0,4004,6302,41551,35,68100,0.0,0.0,Not_Available,434355,0.0,40,106,66958,97.0,0,0
39,180069,0,63,605,1,46,506456.08055371896,444520.809984127,18.19189230769231,50734.12370743801,0.5030552239891724,2.4489146944E8,2,100000,UNIFORM,0,0,277,0.0,4768,44808,33682,100,4051,0,424,402,32483.0,0,0,Not_Available,0.9118881118881119,31683,35,1,114,-27,34,441641,3696,96.0,0,Not_Available,1479,42549,290,0.0,0,Not_Available,0,3513,45471,1,34,0.0,504173.0,100,38809.0,453770,4345,329.0,60,1517,365,0.905688622754491,373,0,0.0,0.0,41934,442725.0,5810,0,0,0,Not_Available,0,35.0,0,122034,Not_Available,3429,0,4033,0,5295,6302,41258,35,66800,0.0,0.0,Not_Available,442712,0.0,40,95,64559,96.0,0,0
