ReplicationDegree;Numkeys;NumWrites;NumThread;NumNodes;Warehouses;Parallelism;CPU;Memory;Throughput;WriteThroughput;ReadThroughput;EarlyAborts;LocalPrepareAborts;RemotePrepareAborts;WriteXactPercentage;WriteCommitProbability;TotalCommitProbability;Locality;NumReadsPerROXact;NumReadsPerWrXact;NumPutsPerWrXact;NodesInCommit;RemoteNodesInCommit;RemoteReadsInROXact;RemoteReadsInWrXact;LockHoldTime;LocalLockHoldTime;LocalSuccessfulLockHoldTime;LocalLocalAbortLockHoldTime;LocalRemoteAbortLockHoldTime;RemoteLockHoldTime;PrepareRtt;CommitAsyncNet;RollbackAsyncNet;RemoteGetRtt;NumReadsAfterFirstWrite;PrepareMessageSize;CommitMessageSize;RollbackMessageSize;RemoteGetMessageSize;RemoteGetReplyMessageSize;LocalCommitWaitTime;NumLocalCommitsWait;RemoteCommitWaitTime;NumRemoteCommitsWait;RemoteGetWaitTime;NumRemoteGetsWait;TotalResponseTimeWrXact;TotalResponseTimeROXact;LocalResponseTimeWrXact;LocalResponseTimeROXact;LocalServiceTimeWrXact;TotalServiceTimeWrXact;LocalServiceTimeROXact;RG_WrR;RG_ROR;RG_COMMIT;BusinessLogicWrXactS;BusinessLogicROXactS;BusinessLogicWrXactR;BusinessLogicROXactR;RemoteRemoteGetServiceTime;RemoteRemoteGetResponseTime;LocalRemoteGetServiceTime;LocalRemoteGetResponseTime;CommitCommandServiceTime;CommitCommandResponseTime;PrepareCommandServiceTime;PrepareCommandResponseTime;EarlyAbortProb;PrepareLocalAbortProb;PrepareRemoteAbortProb;;;Throughput;RdThroughput;WrThroughput;RdResponseTime;WrResponseTime;WrLocalR;WrPrepareR;WrCommitR;RemoteGetR;avgR;CpuU;EarlyAbortP;LocalAbortP;RemoteAbortP;
1;100.000;10;1;10;0;10;0,61990308;192.672.944,31304345;484,96059282;53,22080913;431,73978369;2;2;0;0,1098528;0,99958255;0,99995417;0,10025665;10;10;10;6;5;8,99785588;8,99088333;1.206,6;1.198,8;1.198,8;0;626,4;40.021,1;6.448,5;969,2;484,2;1.615,5;10;5.612,5;162;28;186;216,1;3.014,2;0,6;4.657,6;7,5;0;0;39.216,6;16.801,1;30.409;16.327,8;3.706,2;5.353,7;1.796,4;40.736,03142165;18.107,0093573;9.020,34179946;2.153,47444946;242,47028914;14.479,85200991;386,29873342;100,4;105,7;172,7;1.771,7;459,8;1.233,2;1.044,3;7.342,4;0,00020872;0,00208377;0;;;451,67718478;402,0591793;49,61800548;14.728,32090446;82.194,82717175;18.248,70506479;7.492,91921794;1.429,11921794;1.788,31921794;22.139,7058276;0,10651897;0,00004806;0,10415016;0,64529594;
1;100.000;10;1;20;0;20;0,66324635;179.612.553,68695658;800,0153348;88,414004;711,60133079;0;4;0;0,11058204;0,9997487;0,99997222;0,05002465;10;10;10;7,85;7;9,49977341;9,49961423;1.544,9;1.469,7;1.468,6;3.849,95;0;114.124,7;8.095,05;1.324,55;302,35;1.886,85;10;5.692,9;242;14;266;380,65;3.924,35;0,25;11.152,45;10,65;0;0;48.296,3;20.544,65;37.374,05;20.086,35;4.434,9;6.343,65;2.128,15;49.888,91688093;21.897,71153188;11.160,3996296;2.556,35128506;249,56980869;17.653,8008099;365,77038366;111,8;119,9;197,75;2.075,9;540,35;1.605,75;1.228,6;9.093,1;0;0,00500219;0;;;659,27494402;586,37097698;72,90396704;18.075,55241599;128.950,74234811;22.362,70389236;9.323,87105061;1.865,12105061;2.084,82105061;30.336,3569044;0,18103313;0,00008039;0,06285141;0,73079373;
1;100.000;10;1;30;0;30;0,65467091;174.432.091,59130433;1.075,98755486;117,6065337;958,38102117;0;7;0;0,10937696;0,99966942;0,99996386;0,03333712;10;10;10;8;8;9,66666113;9,66667828;1.719,63333333;1.640,13333333;1.633,53333333;14.898,63333333;0;76.314,26666667;9.122,43333333;1.599,96666667;442,23333333;2.071,73333333;10;5.772,76666667;322;16,33333333;346;545,23333333;4.066,23333333;0,1;10.107,63333333;9,26666667;0;0;54.405,33333333;22.964,56666667;42.023,23333333;22.507;5.054,83333333;7.169,93333333;2.432,3;56.059,29608628;24.368,06242288;12.629,27102817;2.892,71962382;270,19012817;19.911,35120395;395,15711857;123;132,3;223,66666667;2.287,43333333;606,63333333;1.892,46666667;1.367,43333333;10.258;0;0,00982318;0;;;951,38304005;847,32365663;104,05938342;20.242,99935898;123.464,38485094;25.084,41552129;10.490,1024359;2.206,83576923;2.295,63576923;31.533,04057055;0,19078743;0,00009524;0,03726171;0,68816885;
1;100.000;10;1;10;0;10;0,67977792;210.187.288,4231884;281,76549413;143,79668128;137,96881285;1;19;0;0,51072875;0,99922789;0,99960581;0,09987184;10;10;10;6;5;9,00014612;9,00273417;4.926,3;4.818;4.807,9;24.945,2;0;37.816,9;7.065,9;1.064,4;1.201,8;1.918,2;10;5.612,5;162;63;183;258,8;13.301,4;4,4;6.536,4;79;0;0;46.384,4;20.617;36.910,6;20.161,8;3.642,6;5.122,3;1.929,5;48.067,73728511;22.073,77720265;9.728,54137071;1.975,29363153;262,67293825;17.077,57662125;334,4780938;136,3;158,4;185,2;2.203;414,7;1.340,1;918,7;7.879,3;0,00003861;0,00728723;0;;;190,71894973;93,31329967;97,40565006;17.300,89634481;86.089,42366224;20.906,57703809;7.984,65695055;1.479,15695055;2.103,45695055;52.433,17464885;0,05388194;0,00004922;0,09715553;0,61708441;
1;100.000;10;1;20;0;20;0,7062498;196.786.263,33211595;454,04660684;232,21480425;221,8318026;1;55;0;0,51187594;0,99866208;0,99931529;0,04960786;10;10;10;7,95;7;9,5045166;9,50314519;6.613,75;6.195,15;6.164,85;32.093,2;107,15;42.814,35;9.400,95;1.364,85;1.505,15;2.271,7;10;5.692,45;242;63;263;454,6;17.889,2;2,75;11.755,8;90,85;0;0;58.041,25;25.847,65;45.832,35;25.425,2;4.434,4;6.100,25;2.339,15;59.797,12608107;27.341,34489161;12.473,85916428;2.380,29516794;284,74873711;20.764,95362703;354,18611495;150,15;179,15;216,15;2.637,8;453,95;1.655,45;1.074,45;10.314,1;0,00002389;0,02564103;0;;;273,4651138;133,48490147;139,98021232;21.557,01167786;122.320,60614913;26.016,01560869;10.475,4954534;1.818,8954534;2.487,9454534;73.135,47136755;0,08713597;0,00008379;0,05420876;0,67259424;
1;100.000;10;1;30;0;30;0,69651813;190.779.873,9647343;605,58980332;309,00579424;296,58400908;7;95;0;0,51065438;0,99816958;0,99906518;0,03352628;10;10;10;8;8;9,66609147;9,66354084;7.642,2;6.896,33333333;6.872,23333333;19.592,93333333;277,5;40.378,53333333;10.674,36666667;1.550,8;2.042,53333333;2.512,66666667;10;5.772,46666667;322;70;343;650,33333333;13.954,5;1,6;12.139,1;81,23333333;0;0;65.660,4;28.915;51.881,8;28.507,6;5.116,76666667;6.925,9;2.643,16666667;67.471,93658612;30.456,31205866;14.049,15669134;2.759,82905589;285,60695597;23.665,22710252;283,57950279;162,6;196,66666667;243,9;2.919,9;479,66666667;1.836,3;1.194,53333333;11.701,9;0,00012562;0,04874044;0;;;329,83986618;161,40569443;168,43417175;24.269,40585958;154.854,44208349;29.408,30907062;11.869,0390753;2.030,60574197;2.756,70574197;90.953,22632699;0,12209491;0,00010974;0,03942437;0,71023451;
1;100.000;10;1;40;0;40;0,68026712;178.141.710,1449855;689,10768762;352,02850538;337,07918225;8;155;0;0,51140433;0,99743432;0,99868769;0,02451127;10;10;10;8;8;9,7520852;9,74725915;10.017,425;8.514,25;8.486,025;18.582,75;244;43.541,3;13.163,375;1.764;1.733,225;2.917,875;10;5.852,525;402;68,25;423;838,05;10.518,95;1,275;14.204,3;82,075;0;0;77.945,85;33.662,975;61.221,1;33.218,725;6.094,1;8.099,075;3.135,975;79.872,07832555;35.344,17744955;17.006,71140772;3.289,32617873;329,81248451;28.296,56435156;277,88781884;178,875;223,45;287,75;3.377,825;524,6;2.086,975;1.342,3;14.378,825;0,00012592;0,08912144;0;;;287,91437713;140,67371839;147,24065875;28.461,97554107;244.471,5228423;34.546,97361028;14.505,90864013;2.288,83364013;3.205,85864013;138.930,19306043;0,18939083;0,00013367;0,03579629;0,78393779;
1;100.000;10;1;60;0;60;0,69885833;162.776.755,94769084;844,13721389;427,93171246;416,20550143;17;307;0;0,50808497;0,9958119;0,99787247;0,01666831;10;10;10;9;9;9,83357475;9,83290609;12.545,41666667;9.428,83333333;9.381,13333333;16.915,05;68,98333333;39.903,06666667;14.957,08333333;2.052,63333333;1.702,61666667;3.570,61666667;10;6.012,5;562;68,83333333;583;1.214,26666667;44.096,81666667;0,66666667;23.498,45;50,9;0;0;95.589,98333333;41.368,46666667;76.421,4;40.898,61666667;8.064,13333333;10.427,48333333;4.078,95;97.609,88682318;43.098,86980293;19.463,80870618;4.389,41244416;403,97922371;35.879,18100121;353,64072967;209,25;257,53333333;373,71666667;4.123,11666667;626,3;2.452,71666667;1.592,3;16.450,98333333;0,00021975;0,19296445;0;;;364,98214013;179,54019864;185,44194149;35.315,08762694;289.360,22628445;43.179,11529184;16.549,6965336;2.679,2465336;3.944,6465336;164.391,60551356;0,23850153;0,00017604;0,02351248;0,77993748;
1;100.000;10;1;10;0;10;0,69638875;214.848.095,773913;203,83016949;184,80320564;19,02696385;3;18;0;0,90675767;0,99936912;0,99942798;0,10059143;10;10;10;6;5;9,0025998;8,99330596;8.601,9;8.494;8.484,2;24.795;589;39.733,5;7.340,1;1.011,4;1.573;2.027,1;10;5.612,4;162;70;181;295,8;12.953,8;5,7;7.270,5;148,2;0;0;49.582,8;22.369,4;39.881,9;21.872,2;3.666,9;5.061,4;2.005,6;51.401,90154257;23.930,02599896;9.962,86258699;1.957,27253679;294,20577776;18.190,04602172;157,92927913;151,7;191,2;190,1;2.412;357,8;1.287;890,8;8.151,2;0,00009013;0,00538181;0;;;203,13138146;18,94044252;184,19093895;18.253,77208507;52.414,44304612;21.912,31884409;8.230,92052561;1.369,22052561;2.217,22052561;49.229,22262375;0,02011278;0,00003664;0,04895003;0,36944299;
1;100.000;10;1;20;0;20;0,69437822;204.055.359,7717391;325,41485158;296,08268338;29,33216819;4;83;0;0,91003392;0,9983703;0,99851698;0,04956211;10;10;10;7,8;7;9,49719689;9,50515011;11.817,05;11.189,65;11.154,3;44.000,2;154,1;36.450,25;9.974,8;1.406,55;1.422,7;2.395,05;10;5.692,35;242;66,5;261;516;11.153,45;3,9;10.888,95;152,2;0;0;62.518,05;28.350,75;49.698,15;27.912,2;4.529,65;6.151,65;2.447,8;64.406,86506094;29.932,0070783;13.090,72077833;2.394,31802667;314,25471866;22.304,30736867;541,27856296;161,25;206,45;224,65;2.882;431,7;1.684,05;1.053,75;10.882,25;0,00007493;0,03020543;0;;;212,03188041;19,07567701;192,9562034;22.713,39222456;101.405,01482325;27.282,17053257;11.028,60854216;1.838,30854216;2.619,75854216;94.325,43804832;0,05530451;0,00007811;0,04369263;0,58748919;
1;100.000;10;1;30;0;30;0,71242512;197.707.613,74879223;433,79853654;394,36230595;39,43623059;15;146;0;0,90930853;0,99773721;0,99794249;0,03346182;10;10;10;8;8;9,67524979;9,66421323;13.830,6;12.671,4;12.626,03333333;25.257,7;61,1;36.769,96666667;11.361,76666667;1.643,53333333;1.407,53333333;2.642,23333333;10;5.772,33333333;322;70;341;735,76666667;14.358,8;2,66666667;12.460;140,3;0;0;70.437,96666667;31.589,06666667;55.891,16666667;31.179,23333333;5.160,7;6.923,1;2.800,36666667;72.364,10737949;33.274,57842573;14.823,38511815;2.717,26475561;354,14101266;25.008,85115725;261,65013669;170,93333333;220,66666667;252,83333333;3.195,53333333;466,36666667;1.930,16666667;1.163,1;12.369,2;0,00021082;0,05811331;0;;;161,03838154;14,60480785;146,43357369;25.543,08031998;202.323,46635242;30.704,76850737;12.525,02160894;2.110,05494228;2.895,22160894;186.290,9929454;0,13415586;0,00011221;0,04587321;0,76806764;
1;100.000;10;1;40;0;40;0,68190699;179.487.695,5013333;479,9614711;436,42758861;43,53388249;7;263;0;0,90955961;0,99657517;0,99688484;0,02420634;10;10;10;8;8;9,74241696;9,75185489;18.291,6;16.232,575;16.158,775;35.107,125;204,225;36.703,225;15.067,225;1.784,325;1.711,275;3.141,85;10;5.852,4;402;70;421;936,125;16.183,1;2;15.157,575;145,1;0;0;85.816,975;37.340,45;67.147,35;36.896,8;6.176,525;8.125,725;3.261,85;87.903,18199225;39.137,66817141;18.960,93017868;3.280,22409802;368,35216409;30.622,02131034;406,82085206;187,025;251,1;297;3.745,475;501,075;2.118,675;1.311,525;16.289,75;0,00008879;0,11808814;0;;;205,88000553;18,61986785;187,26013768;30.546,0364509;210.569,3038958;36.810,78713483;16.378,8979614;2.285,5479614;3.438,9979614;194.287,92950461;0,12889057;0,00013135;0,0309001;0,72895026;
1;100.000;10;1;50;0;50;0,691146;172.394.812,91584927;537,56172042;489,49183679;48,06988363;15;378;0;0,91107607;0,99556012;0,99595554;0,01953977;10;10;10;9;8;9,79930183;9,79886314;21.829,26;18.480,26;18.352,22;37.058;411,66;40.912,26;17.055,1;1.940,74;1.745,86;3.476,42;10;5.932,56;482;70;501;1.144,56;11.688,22;1,48;16.012,92;130,84;0;0;95.820,74;41.284,2;74.891,8;40.796,22;7.103,32;9.219,64;3.739,88;97.989,26475141;43.197,1624325;21.223,06596317;3.789,93241902;426,34407934;34.438,36940453;340,97831271;200,82;268,04;338,14;4.128,38;546,58;2.290,28;1.430,46;18.382,92;0,00016946;0,17659755;0;;;194,05740178;17,25634706;176,80105472;34.073,3431784;279.478,07575741;41.175,20031809;18.485,77499159;2.487,53499159;3.814,77499159;257.655,72218486;0,17694903;0,00015342;0,0276881;0,7725183;
1;100.000;10;1;60;0;60;0,71363932;169.999.446,15421253;610,60083077;554,99117195;55,60965882;24;518;0;0,90937757;0,99460444;0,99509342;0,01639071;10;10;10;9;9;9,83421767;9,83627284;21.312,46666667;17.493,73333333;17.367,8;33.084,08333333;186,56666667;35.582,96666667;15.780,2;2.080,06666667;1.794,38333333;3.704,43333333;10;6.012,38333333;562;70;581;1.359,78333333;11.892,35;1,15;14.496,93333333;92,78333333;0;0;100.580,33333333;43.983,33333333;80.612,05;43.513,73333333;7.993,8;10.260;4.185,8;102.743,67432636;45.846,74642965;20.270,69765825;4.268,3116634;461,0900578;37.496,05952684;406,75140953;214,63333333;283,11666667;378,75;4.383,36666667;586,61666667;2.443,7;1.537,83333333;17.261,01666667;0,00023892;0,23726821;0;;;222,04988228;20,12270009;201,92718219;36.600,42046496;293.489,46522176;44.422,77234834;17.318,29649226;2.666,94649226;4.083,44649226;270.209,55554394;0,20833398;0,00017751;0,0232631;0,77608413;
